67,15,13,53,17,27,73,52,18,77,24,26,51,33,39,27,52,4,82,58,40,16,10,71,82,54,5,72,15,91,70,52,19,5,31,59,83,1,54,81,75,39,15,3,6,79,63,12,25,78,29,65,15,5,61,52,6,43,71,63,22,2,37,27,7,72,8,47,2,80,44,52,50,1,83,2,1,7,66,4,92,93,47,38,62,5,38,15,44,80,54,41,30,91,59,74,2,89,96,34
72,17,11,46,34,78,15,14,22,60,52,99,77,68,72,29,56,99,66,3,35,93,3,22,27,4,22,60,43,10,100,13,11,33,33,76,83,1,5,85,90,24,93,85,28,55,64,63,20,30,19,3,24,94,99,79,14,89,19,30,56,56,72,13,60,40,89,45,35,97,47,55,95,82,13,11,1,19,95,73,41,60,41,13,92,97,90,18,34,55,62,95,83,75,29,34,53,81,25,89
67,19,28,23,84,65,9,43,81,89,78,96,95,47,90,97,16,59,22,64,51,71,12,81,35,53,73,21,53,79,59,20,94,6,6,22,32,18,30,28,89,48,37,46,77,67,100,36,86,32,19,94,60,62,39,96,8,48,89,32,92,89,90,2,30,59,2,90,42,68,66,99,30,95,76,4,35,66,5,69,53,37,35,22,61,65,61,33,67,10,14,85,30,98,36,1,58,36,16,19
65,11,95,19,66,20,65,66,87,36,62,43,43,20,80,56,54,68,42,66,98,70,23,32,55,82,70,32,59,76,46,99,51,86,5,42,43,17,57,41,1,96,47,31,49,72,42,10,19,80,47,91,94,51,21,95,89,64,64,85,51,33,7,11,91,63,92,57,16,38,14,38,11,1,66,3,24,92,83,83,40,60,13,80,29,55,6,1,66,10,54,79,53,72,91,68,89,36,41,86
80,85,95,82,67,9,80,94,85,19,72,97,81,82,45,91,20,28,83,37,58,92,92,6,85,35,86,39,11,98,14,89,52,97,4,56,66,32,13,20,75,12,16,47,39,57,99,71,28,100,49,62,54,5,29,88,93,89,97,32,24,41,84,88,6,83,46,84,79,89,26,88,15,63,62,46,77,46,68,29,37,15,12,11,50,52,36,47,69,16,63,78,36,82,97,34,29,29,41,56
12,15,93,39,75,61,48,92,44,83,12,48,21,69,95,10,30,73,38,55,48,99,16,63,27,48,53,33,67,28,18,49,5,13,18,23,22,73,37,90,4,45,4,87,5,16,58,68,87,87,5,57,91,87,8,13,99,30,13,27,8,16,25,16,65,63,43,9,51,73,89,57,36,49,51,4,95,30,59,11,91,86,47,81,24,62,59,18,5,5,24,92,61,10,82,89,20,89,22,42
73,50,17,15,98,48,21,42,37,5,18,70,71,2,37,23,70,45,93,4,5,26,4,47,49,97,97,27,68,63,85,7,8,18,39,42,70,32,83,76,41,17,82,1,88,54,21,59,74,59,20,75,97,18,37,48,46,71,66,1,52,95,75,74,20,12,62,54,64,96,54,38,63,17,64,88,44,3,60,96,77,38,54,9,43,10,11,91,81,91,96,99,67,82,25,46,43,8,81,76
92,67,96,78,6,83,12,80,55,49,4,44,12,71,25,14,42,66,32,10,2,72,74,73,100,55,71,81,93,18,46,36,22,84,4,10,42,76,4,61,99,32,37,32,88,53,88,97,57,11,5,78,77,72,75,21,94,24,79,51,12,32,87,37,4,68,22,28,67,16,72,67,62,71,12,70,36,43,85,48,67,75,25,83,14,69,60,51,9,83,16,19,97,53,50,68,45,100,28,20
32,61,30,42,39,38,16,7,60,5,86,51,39,32,85,37,7,5,24,36,9,71,19,85,100,54,70,10,21,45,26,36,15,66,17,7,46,83,44,76,53,53,92,5,98,66,81,66,69,14,61,41,77,93,12,61,42,46,42,86,69,7,86,15,80,50,37,74,15,79,91,25,61,48,83,56,80,15,87,35,74,4,41,7,85,86,59,23,55,56,65,1,42,59,8,47,68,77,26,48
30,8,52,91,24,36,80,30,10,56,81,28,59,8,12,65,66,79,31,94,92,14,19,60,14,90,84,3,40,37,89,3,90,39,6,67,53,51,84,49,6,30,13,99,75,38,43,34,47,44,81,89,47,32,57,16,89,93,77,35,53,77,90,74,68,79,39,21,2,46,13,16,96,82,88,62,2,21,85,77,47,50,56,97,56,1,57,59,82,90,79,61,74,50,96,30,40,39,32,97
